input,target
"CITI Bank. Tried to open a new savings account : Accelerate 2.36 %. Have made over 30 phone calls. Would not accept wire transfers in good faith and bounced it two times and charged me {$100.00} for that. Will not communicate effectively about how to resolve wire transfers into CITI Bank savings. Now will not transfer out the {$10000.00} that is in there by TRANSFER from my Credit union, except {$2000.00} at a time for the next 5 weeks. Another loss of money. Further, a tremendous loss in interest from my local credit union because of CITI Bank 's problems. Never can help the customer.",Misinformation or clarification Issues
"I have Wells Fargo Business checking account. 
They have placed limits on my online transfers ( transfer out to external accounts ) ... which is greatly impacting my business. 
I have been trying hard to convince them to increase my limit but getting the usual excuse making response from Wells regarding this. 

My money is stuck with Wells Fargo business checking account.",Misinformation or clarification Issues
"The initial claim I filed with Bank of America on XX/XX/2020 for the charges of {$2300.00}. The service supposed to be for horse brochures and guide information, but never received and instead the merchant has reoccurring charges to my bank. Bank of America refused to recover this amount instead only a few transactions ... 3 transactions for similar merchant were recovered. 

XX/XX/2020 XXXX XXXX  XXXX {$300.00} and {$300.00} XX/XX/2020 XXXX  XXXX XXXX XXXX XXXX XXXX XXXX {$400.00} These 3 transactions were refunded The bottom transactions were not recovered XX/XX/2020 XXXX XXXX XXXX {$250.00} and {$300.00}, XX/XX/2020 {$270.00} and XX/XX/2020 {$270.00} XX/XX/2020 XXXX XXXX XXXX XXXX XXXX {$270.00} Further correspondence if needed.",Misinformation or clarification Issues
"Hello, I was arbitrarily charged a {$30.00} fee for a XXXX IRA account I have held open for over a year. I have never been charged a fee. They recently charged me this fee. Then on top of this they charged a {$35.00} overdraft fee which is a fee on top of another fee. Had I known they were going to start charging all of these fees I would have closed it long ago. I spoke with the company but they were not helpful.",Misinformation or clarification Issues
"I don't have a phone number. Capital One is trying to do 2-factor authentication to a phone number I no longer have. Capital One has no alternative. Not everyone can afford a phone or wants to pay for one. 

I need to be able to access my account online by a means just like rich people with phones when I don't have one. 

There is no requirement in the account agreement that I have a phone, and I was lied to and told that I had to have one. 

https : //www.capitalone.com/XXXX/ <- There's nothing that says I have to have a phone in the agreement. 

If Capital One wants me to have a phone, Capital One needs to pay for it, or use an email address for verification like many other banks are doing.",Misinformation or clarification Issues
I use XXXX XXXX to access my paycheck earlier when I need to. However access to my current amount in my checking account is slow and can in some cases hinder my ability to get money when I need it. It would be best if access was instant so my current balance is always up to date.,Misinformation or clarification Issues
I am trying to link my PNC bank account as a funding source with XXXX XXXX. To round my change up to invest in stocks and make investments. And PNC bank blocks their customers from being able to make their own financial decisions and will not allow them to link accounts to invest with XXXX. This is unacceptable.,Misinformation or clarification Issues
"On XX/XX/21, I deposited a check from XXXX XXXX XXXX, XXXX in the amount of {$8900.00}. Two days later, Chase released the funds and I used this money to lease a new car. On XX/XX/21, Chase reversed the deposit and took all of the money back, stating the check had insufficient funds. 

Chase shouldn't have released those funds if they were insufficient. Furthermore, I've asked them to do a formal dispute with me for this check and they said no. They did say they'll escalate the issue but I have not heard back from anyone at Chase. 

I need help from Chase to dispute this and get the funds back into my account. I believe the person who wrote the check - who is ignoring my repeated requests to re-pay me the {$8900.00} - is committing fraud and I need help.",Misinformation or clarification Issues
I tried to open an account at your bank. I was told I couldnt open it because I was not in one of the states where your bank is located. I was told the account would be closed. {$300.00} was taken out of my account to fund the accounts. I want my money back.,Misinformation or clarification Issues
Cash app was suppose to direct deposit my income tax refund this year and I have not received it yet from the irs. I have called the cash app team along about this issue and other relating issues but they have not resolved my problem and only provided a reference number,Misinformation or clarification Issues
