-DOCSTART- -X- O
Hi -X- _ O
my -X- _ O
name -X- _ O
is -X- _ O
Brittney -X- _ B-PER
Melton -X- _ I-PER
and -X- _ O
this -X- _ O
issues -X- _ O
is -X- _ O
concerning -X- _ O
the -X- _ O
transfer -X- _ O
of -X- _ O
$51693 -X- _ B-AMOUNT
on -X- _ O
2020-01-08. -X- _ B-DATE
The -X- _ O
transaction -X- _ O
id -X- _ O
is -X- _ O
CPBL98570745427079. -X- _ B-ID
money -X- _ O
was -X- _ O
se -X- _ O
nt -X- _ O
to -X- _ O
western -X- _ O
union -X- _ O
to -X- _ O
be -X- _ O
picked -X- _ O
up -X- _ O
by -X- _ O
this -X- _ O
person -X- _ O
Date -X- _ O
of -X- _ O
Order -X- _ O
: -X- _ O
XXXX -X- _ O
/ -X- _ O
XXXX -X- _ O
/ -X- _ O
2017 -X- _ O
Amount -X- _ O
Sent -X- _ O
: -X- _ O
USD -X- _ O
XXXX -X- _ O
Receiver -X- _ O
Name -X- _ O
: -X- _ O
XXXX -X- _ O
XXXX -X- _ O
tracking -X- _ O
number -X- _ O
mtcnDate -X- _ O
of -X- _ O
Order -X- _ O
( -X- _ O
XXXX -X- _ O
) -X- _ O
is -X- _ O
: -X- _ O
XXXX -X- _ O
: -X- _ O
XXXX -X- _ O
/ -X- _ O
XXXX -X- _ O
/ -X- _ O
2017 -X- _ O
Amount -X- _ O
Sent -X- _ O
: -X- _ O
USD -X- _ O
XXXX -X- _ O
Receiver -X- _ O
Name -X- _ O
: -X- _ O
XXXX -X- _ O
XXXX -X- _ O
Status -X- _ O
: -X- _ O
Picked -X- _ O
up -X- _ O
Status -X- _ O
: -X- _ O
Picked -X- _ O
up -X- _ O
they -X- _ O
gave -X- _ O
me -X- _ O
XXXX -X- _ O
number -X- _ O
which -X- _ O
is -X- _ O
XXXX -X- _ O
when -X- _ O
submitted -X- _ O
to -X- _ O
western -X- _ O
they -X- _ O
say -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
found, -X- _ O
dont -X- _ O
know -X- _ O
who -X- _ O
to -X- _ O
contact -X- _ O
except -X- _ O
western -X- _ O
union -X- _ O

Hello, -X- _ O
I -X- _ O
am -X- _ O
Mario -X- _ B-PER
Delacruz -X- _ I-PER
and -X- _ O
I -X- _ O
am -X- _ O
inquiring -X- _ O
regarding -X- _ O
the -X- _ O
transaction -X- _ O
NUVC60959383091552 -X- _ B-ID
made -X- _ O
on -X- _ O
2021-04-15. -X- _ B-DATE
The -X- _ O
value -X- _ O
of -X- _ O
the -X- _ O
transaction -X- _ O
was -X- _ O
$78078. -X- _ B-AMOUNT
On -X- _ O
XX/XX/2019 -X- _ O
at -X- _ O
XXXX -X- _ O
a -X- _ O
bank -X- _ O
account -X- _ O
transfer -X- _ O
was -X- _ O
initiated -X- _ O
by -X- _ O
