input,target
Wow... Loved this place.,Positive
Crust is not good.,Negative
Not tasty and the texture was just nasty.,Negative
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,Positive
The selection on the menu was great and so were the prices.,Positive
Now I am getting angry and I want my damn pho.,Negative
Honeslty it didn't taste THAT fresh.),Negative
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,Negative
The fries were great too.,Positive
A great touch.,Positive
Service was very prompt.,Positive
Would not go back.,Negative
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,Negative
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",Positive
I was disgusted because I was pretty sure that was human hair.,Negative
I was shocked because no signs indicate cash only.,Negative
Highly recommended.,Positive
Waitress was a little slow in service.,Negative
"This place is not worth your time, let alone Vegas.",Negative
did not like at all.,Negative
The Burrittos Blah!,Negative
"The food, amazing.",Positive
Service is also cute.,Positive
I could care less... The interior is just beautiful.,Positive
So they performed.,Positive
That's right....the red velvet cake.....ohhh this stuff is so good.,Positive
#NAME?,Negative
"This hole in the wall has great Mexican street tacos, and friendly staff.",Positive
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",Negative
The worst was the salmon sashimi.,Negative
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",Positive
This was like the final blow!,Negative
I found this place by accident and I could not be happier.,Positive
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",Negative
"Overall, I like this place a lot.",Positive
The only redeeming quality of the restaurant was that it was very inexpensive.,Positive
Ample portions and good prices.,Positive
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",Negative
My first visit to Hiro was a delight!,Positive
Service sucks.,Negative
The shrimp tender and moist.,Positive
There is not a deal good enough that would drag me into that establishment again.,Negative
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,Negative
"On a positive note, our server was very attentive and provided great service.",Positive
"Frozen pucks of disgust, with some of the worst people behind the register.",Negative
The only thing I did like was the prime rib and dessert section.,Positive
It's too bad the food is so damn generic.,Negative
"The burger is good beef, cooked just right.",Positive
If you want a sandwich just go to any Firehouse!!!!!,Positive
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",Positive
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,Positive
He came running after us when he realized my husband had left his sunglasses on the table.,Positive
Their chow mein is so good!,Positive
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",Negative
The portion was huge!,Positive
"Loved it...friendly servers, great food, wonderful and imaginative menu.",Positive
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,Negative
Not much seafood and like 5 strings of pasta at the bottom.,Negative
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",Positive
"The ripped banana was not only ripped, but petrified and tasteless.",Negative
At least think to refill my water before I struggle to wave you over for 10 minutes.,Negative
This place receives stars for their APPETIZERS!!!,Positive
The cocktails are all handmade and delicious.,Positive
We'd definitely go back here again.,Positive
We are so glad we found this place.,Positive
"Great food and service, huge portions and they give a military discount.",Positive
Always a great time at Dos Gringos!,Positive
Update.....went back for a second time and it was still just as amazing,Positive
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,Negative
A great way to finish a great.,Positive
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",Positive
#NAME?,Positive
The service was meh.,Negative
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",Negative
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",Negative
The scallop dish is quite appalling for value as well.,Negative
2 times - Very Bad Customer Service !,Negative
The sweet potato fries were very good and seasoned well.,Positive
Today is the second time I've been to their lunch buffet and it was pretty good.,Positive
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,Negative
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,Negative
